33,Samples,,
3,Markers,,
,Q,Q,Q
,C18:3n3,C18:2n6t,C18:2n6c
GL setup,0.399033816,0.264089851,2.78476743
PJ setup,0.341062802,0.315693615,2.806017472
PP setup,0.434782609,0.46848123,4.572806692
GL H1,0.122705314,0.161894162,1.634229433
PJ H1,0.113043478,0.189213801,2.168516207
PP H1,0.189371981,0.277243752,3.401018653
GL C H2,0.049275362,0.08802995,0.739703849
PJ C H2,0.297584541,0.246888597,2.582386076
PP C H2,0.722705314,0.37336841,6.000607144
GL C H3,0.283091787,0.090053627,3.423280602
PJ C H3,0.31884058,0.186178286,4.027388943
PP C H3,0,0.089041789,2.269706884
GL C H4,0.116908213,0.089041789,1.905420447
PJ C H4,0,0.096124659,3.280601747
PP C H4,0.153623188,0.213497926,1.842682228
GL P H2,0.144927536,0.196296671,1.415657571
PJ P H2,0.199033816,0.226651826,2.430600061
PP P H2,0,0.233734696,2.218099639
GL P H3,0.156521739,0.187190124,2.062265997
PJ P H3,0.072463768,0.153799454,1.402502783
PP P H3,0.196135266,0.187190124,3.374709077
GL P H4,0,0.172012547,1.24363342
PJ P H4,0,0.146716584,1.166728505
PP P H4,0.355555556,0.08802995,3.581138058
GL M H2,0,0.138621876,1.249704861
GL M H3,0,0.08802995,1.331669309
PJ M H2,0,0.124456137,1.367086046
PJ M H3,0,0.08802995,1.457145748
PJ M H4,0.001932367,0.137610037,1.31244308
PP M H2,0.041545894,0.133562683,1.756670152
PP M H3,0,0.093089143,1.298276385
PP M H4,0,0.129515329,1.227442912
