Date,Time,Precip,SWC,Stemp,Evapo,AirTemp
3/4/2011,14:00,0,0.171,17.55,0.122,10.82
3/4/2011,15:00,0,0.172,17.56,0.471,11.07
3/4/2011,16:00,0,0.173,16.74,0.408,11.29
3/4/2011,17:00,0,0.175,15.29,0.298,10.63
3/4/2011,18:00,0,0.177,12.84,0.161,9.44
3/4/2011,19:00,0,0.18,9.85,0.026,5.78
3/4/2011,20:00,0,0.182,6.999,-0.007,4.148
3/4/2011,21:00,0,0.183,4.863,0.009,3.313
3/4/2011,22:00,0,0.184,3.352,0.009,2.286
3/4/2011,23:00,0,0.184,2.438,0.014,-1.464
3/5/2011,0:00,0,0.183,1.799,0.016,-1.167
3/5/2011,1:00,0,0.183,1.336,0.018,-0.327
3/5/2011,2:00,0,0.183,0.944,0.016,-1.4
3/5/2011,3:00,0,0.182,0.632,0.014,-2.086
3/5/2011,4:00,0,0.182,0.369,0.015,-1.753
3/5/2011,5:00,0,0.182,0.135,0.015,-1.988
3/5/2011,6:00,0,0.181,-0.093,0.013,-2.407
3/5/2011,7:00,0,0.181,-0.277,0.011,-2.745
3/5/2011,8:00,0,0.18,-0.435,0.023,-0.796
3/5/2011,9:00,0,0.178,-0.195,0.14,2.555
3/5/2011,10:00,0,0.175,0.335,0.259,4.218
3/5/2011,11:00,0,0.172,5.538,0.351,6.137
3/5/2011,12:00,0,0.167,10.92,0.443,8.37
3/5/2011,13:00,0,0.166,14.51,0.489,10.15
3/5/2011,14:00,0,0.166,16.99,0.511,12.46
3/5/2011,15:00,0,0.167,17.8,0.468,13.44
3/5/2011,16:00,0,0.168,17.15,0.382,13.77
3/5/2011,17:00,0,0.171,15.65,0.254,13.68
3/5/2011,18:00,0,0.174,13.33,0.111,12.16
3/5/2011,19:00,0,0.177,10.47,0.027,7.877
3/5/2011,20:00,0,0.179,7.979,0.028,4.862
3/5/2011,21:00,0,0.179,6.244,0.019,6.631
3/5/2011,22:00,0,0.179,5.032,0.047,7.111
3/5/2011,23:00,0,0.178,4.478,0.051,8.02
3/6/2011,0:00,0,0.178,4.142,0.049,7.828
3/6/2011,1:00,0,0.177,3.965,0.052,7.668
3/6/2011,2:00,0,0.178,3.467,0.043,6.392
3/6/2011,3:00,0,0.177,3.268,0.039,6.492
3/6/2011,4:00,0,0.177,3.11,0.035,6.557
3/6/2011,5:00,0,0.178,2.371,0.013,3.988
3/6/2011,6:00,0,0.179,1.629,0,3.671
3/6/2011,7:00,0,0.179,1.091,0.01,4.064
3/6/2011,8:00,0,0.178,0.984,0.021,4.698
3/6/2011,9:00,0,0.175,2.718,0.189,10.11
3/6/2011,11:00,0,0.168,9.83,0.356,14.23
3/6/2011,12:00,0,0.166,12.37,0.524,15.68
3/6/2011,13:00,0,0.166,14.57,0.557,16.46
3/6/2011,14:00,0,0.166,15.87,0.56,16.69
3/6/2011,15:00,0,0.167,16.01,0.483,15.75
3/6/2011,16:00,0,0.168,15.48,0.482,15.65
3/6/2011,17:00,0,0.169,14.59,0.367,14.39
3/6/2011,18:00,0,0.171,13.02,0.265,12.84
3/6/2011,19:00,0,0.173,11.23,0.088,11.54
3/6/2011,20:00,0,0.173,9.77,0.076,10.69
3/6/2011,21:00,0,0.174,8.7,0.069,10.12
3/6/2011,22:00,0,0.174,7.843,0.07,10.12
3/6/2011,23:00,0,0.174,7.215,0.065,9.58
3/7/2011,0:00,0,0.174,6.636,0.064,9.2
3/7/2011,1:00,0,0.174,6.283,0.074,9.3
3/7/2011,2:00,0,0.174,6.023,0.064,8.85
3/7/2011,3:00,0,0.174,5.605,0.061,8.54
3/7/2011,4:00,0,0.174,5.267,0.052,7.783
3/7/2011,5:00,0,0.174,4.763,0.046,7.766
3/7/2011,6:00,0,0.174,4.784,0.065,8.2
3/7/2011,7:00,0,0.173,5,0.058,7.763
3/7/2011,8:00,0,0.173,5.142,0.135,7.429
3/7/2011,9:00,0,0.17,6.81,0.274,9.73
3/7/2011,10:00,0,0.168,10.25,0.065,9.35
3/7/2011,12:00,0,0.169,11.59,0.298,7.822
3/7/2011,13:00,0,0.167,14.59,0.402,9.67
3/7/2011,14:00,0,0.168,15.37,0.317,8.26
3/7/2011,15:00,0,0.168,15.27,0.341,9.15
3/7/2011,16:00,0,0.169,14.99,0.251,8.37
3/7/2011,17:00,0.762,0.174,11.97,0.049,1.979
3/7/2011,18:00,1.27,0.178,8.93,0.029,1.994
3/7/2011,19:00,1.27,0.181,6.717,0,1.38
3/7/2011,20:00,1.27,0.19,4.888,-0.003,0.933
3/7/2011,21:00,0.254,0.197,4.097,-0.002,1.538
3/7/2011,22:00,0.508,0.201,3.832,-0.006,0.824
3/7/2011,23:00,1.27,0.208,3.28,0.001,0.873
3/8/2011,0:00,0.508,0.214,2.855,0.009,1.488
3/8/2011,1:00,0,0.216,2.542,0.015,1.636
3/8/2011,2:00,0,0.216,2.312,0.016,0.982
3/8/2011,3:00,0,0.216,2.116,0.015,-0.008
3/8/2011,4:00,0,0.216,1.922,0.021,-1.3
3/8/2011,5:00,0,0.215,1.659,0.023,-1.693
3/8/2011,6:00,0,0.214,1.379,0.02,-2.364
3/8/2011,7:00,0,0.212,1.102,0.016,-3.018
3/8/2011,8:00,0,0.209,0.88,0.053,-2.488
3/8/2011,9:00,0,0.207,0.825,0.12,-0.722
3/8/2011,10:00,0,0.207,0.898,0.19,0.772
