33,Samples,,,,,,,,,,,,,,,,,
15,Markers,,,,,,,,,,,,,,,,,
,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
,C14,a150,i150,C150,i160,C160,10me160,C161w7c,C170,cy170,C180,C181w7c,C181n9t,C181n9c,cy190,C18:3n3,C18:2n6t,C18:2n6c
GLsetup,0.353960396,1.5375,1.1859375,0.223461508,0.827356747,3.813643927,3.06115993,2.582462687,0.28610811,1.274957818,0.727536642,3.695234241,0.183919598,3.63452393,1.250427409,0.242512077,0.25801882,2.49030256
PJsetup,0.300742574,0.8390625,0.880078125,0.16262382,0.510166359,1.865779257,1.380316344,2.344029851,0.201169765,0.622187852,0.455639737,1.553172114,0.11758794,1.625012648,1.139643028,0,0.178083578,0.610179782
PPsetup,0.341584158,1.083984375,1.0546875,0.177833242,0.089833641,1.801442041,0.745518453,1.839179104,0.193346496,0.692843082,0.469447001,1.950824648,0.260301508,1.966002226,1.264788347,0,0.19730851,1.280062064
GLH1,0.21039604,0.778125,0.82265625,0.160283909,0.646580407,2.338325014,1.579613357,2.308208955,0.211228253,1.088301462,0.464136515,1.328543964,0.16281407,1.845593443,1.004239896,0.021256039,0.105231205,0.607144062
PJH1,0.290841584,1.1015625,1.133203125,0.169643554,0.748613678,2.201885746,2.058347979,2.059701493,0.242521328,0.390185602,0.509806698,1.326520287,0.222110553,1.721137306,1.648430555,0,0.207426895,0.529227241
PPH1,0.278465347,1.38984375,1.5234375,0.21527182,0.900554529,2.74875208,1.306502636,2.104477612,0.253697426,0.752952756,0.757275366,2.089446524,0.246231156,3.36942224,1.65253368,0.050241546,0.235758373,1.817384558
GLCH2,0.211633663,0.5953125,0.6421875,0.143904532,0.51349353,1.580698835,1.143057996,1.366791045,0.185523228,0.781425759,0.370671954,0.961246585,0.191959799,1.35181625,0.622649251,0,0.160882323,0.404762708
PJCH2,0.248762376,0.97734375,0.965625,0.160283909,0.623290203,2.58790904,2.071001757,1.878358209,0.248109377,0.647497188,0.585215606,1.914398462,0.175879397,1.825356673,1.621760241,0,0.19730851,0.710358552
PPCH2,0.409653465,2.16328125,2.302734375,0.299508619,1.453974122,4.166389351,1.716695958,3.072761194,0.364340796,1.136811024,1.042979537,3.785287868,0.372864322,4.171810179,2.176707926,0,0.303551553,2.416433366
GLCH3,0.268564356,1.2796875,1.3359375,0.190702753,0.92051756,2.828618968,2.10685413,1.125,0.250344596,0.946991001,0.607519649,1.908327431,0.194974874,2.400080947,1.338644601,0.028985507,0.202367702,0.992680541
PJCH3,0.389851485,1.6734375,1.71796875,0.233991108,1.055822551,3.912368275,2.76801406,2.771641791,0.311813136,0.912190664,0.78701409,2.532631792,0.232160804,3.000101184,1.843329002,0,0.263078013,2.436671501
PPCH3,0.129950495,0.384375,0.37734375,0.101786132,0.39038817,1.422074321,1.43831283,1.416044776,0.139701226,0.365930821,0.275083198,0.628351715,0.112562814,1.194981281,0.62982972,0,0.087018112,0.368334064
GLCH4,0.183168317,0.582421875,0.54375,0.133374932,0.344916821,1.500831947,1.066080844,1.356716418,0.17322952,0.610587739,0.357926786,0.901548113,0.099497487,1.157543256,0.635984408,0,0.140645553,0.556548723
PJCH4,0.290841584,0.884765625,0.9046875,0.156774043,0.505730129,2.103161398,1.512126538,3.233955224,0.224639571,0.703388639,0.492813142,1.59668117,0.177889447,1.900232723,1.329412569,0,0.184154609,1.310419267
PPCH4,0.274752475,1.28203125,1.255078125,0.179003198,0.712014787,1.86245147,1.013356766,1.604104478,0.210110643,0.693897638,0.463074418,1.605787716,0.183919598,1.863806536,1.299664911,0.003864734,0.186178286,0.769049145
GLPH2,0.216584158,0.863671875,0.830859375,0.170813509,0.679852126,2.556849695,1.992970123,3.019029851,0.233580449,1.138920135,0.520427671,1.69179399,0.141708543,2.11271881,1.040142242,0.075362319,0.16998887,0.98357338
PJPH2,0.285891089,1.112109375,1.08046875,0.182513065,0.735304991,2.489184692,1.775746924,2.215298507,0.243638938,0.655933633,0.592650287,1.742385915,0.193969849,1.809167257,1.577651645,0,0.198320348,0.604108341
PPPH2,0.38490099,1.7578125,1.68984375,0.228141331,0.924953789,2.850804215,1.228471002,1.955597015,0.268226353,0.765607424,0.694611626,2.68339573,0.325628141,2.365678438,1.697668057,0.076328502,0.234746534,1.349883631
GLPH3,0.301980198,1.23984375,1.419140625,0.198892442,0.933826248,3.273433167,2.636203866,2.365298507,0.273814402,1.085137795,0.674431778,2.2280684,0.180904523,2.559951432,1.417629761,0.019323671,0.222604472,0.827739738
