	GLCH4	PPset	GLCH3	PJset	GLH1	GLCH2	PPH1	PPCH4	PPCH2	GLset	PJH1	PJCH2	PJCH3	PJCH4
GLCH4	0.0	0.954809160305	0.577404580153	0.796335877863	0.712366412214	0.659541984733	0.962442748092	0.938320610687	0.890992366412	0.767022900763	0.898625954198	0.85465648855	0.827175572519	0.88427480916
PPset	0.954809160305	0.0	0.949007633588	0.891297709924	0.949312977099	0.963053435115	0.709312977099	0.623816793893	0.572519083969	0.968854961832	0.899236641221	0.886106870229	0.853740458015	0.924885496183
GLCH3	0.577404580153	0.949007633588	0.0	0.777099236641	0.692824427481	0.723664122137	0.956335877863	0.947786259542	0.897099236641	0.733740458015	0.870534351145	0.844580152672	0.796641221374	0.869923664122
PJset	0.796335877863	0.891297709924	0.777099236641	0.0	0.823816793893	0.880610687023	0.906564885496	0.907175572519	0.843358778626	0.862290076336	0.808244274809	0.76213740458	0.715419847328	0.774045801527
GLH1	0.712366412214	0.949312977099	0.692824427481	0.823816793893	0.0	0.804580152672	0.958778625954	0.950839694656	0.930992366412	0.853129770992	0.918167938931	0.86534351145	0.864427480916	0.899236641221
GLCH2	0.659541984733	0.963053435115	0.723664122137	0.880610687023	0.804580152672	0.0	0.967938931298	0.953893129771	0.918778625954	0.801526717557	0.897709923664	0.867175572519	0.859236641221	0.899236641221
PPH1	0.962442748092	0.709312977099	0.956335877863	0.906564885496	0.958778625954	0.967938931298	0.0	0.558167938931	0.674503816794	0.975267175573	0.85893129771	0.860152671756	0.859236641221	0.914198473282
PPCH4	0.938320610687	0.623816793893	0.947786259542	0.907175572519	0.950839694656	0.953893129771	0.558167938931	0.0	0.572213740458	0.967938931298	0.889160305344	0.878167938931	0.852213740458	0.929770992366
PPCH2	0.890992366412	0.572519083969	0.897099236641	0.843358778626	0.930992366412	0.918778625954	0.674503816794	0.572213740458	0.0	0.940152671756	0.838473282443	0.831755725191	0.782290076336	0.885801526718
GLset	0.767022900763	0.968854961832	0.733740458015	0.862290076336	0.853129770992	0.801526717557	0.975267175573	0.967938931298	0.940152671756	0.0	0.945954198473	0.902595419847	0.887328244275	0.916641221374
PJH1	0.898625954198	0.899236641221	0.870534351145	0.808244274809	0.918167938931	0.897709923664	0.85893129771	0.889160305344	0.838473282443	0.945954198473	0.0	0.711755725191	0.677251908397	0.787786259542
PJCH2	0.85465648855	0.886106870229	0.844580152672	0.76213740458	0.86534351145	0.867175572519	0.860152671756	0.878167938931	0.831755725191	0.902595419847	0.711755725191	0.0	0.717557251908	0.820763358779
PJCH3	0.827175572519	0.853740458015	0.796641221374	0.715419847328	0.864427480916	0.859236641221	0.859236641221	0.852213740458	0.782290076336	0.887328244275	0.677251908397	0.717557251908	0.0	0.77679389313
PJCH4	0.88427480916	0.924885496183	0.869923664122	0.774045801527	0.899236641221	0.899236641221	0.914198473282	0.929770992366	0.885801526718	0.916641221374	0.787786259542	0.820763358779	0.77679389313	0.0
