Taxon	GLCH2	GLCH3	GLCH4	GLH1	GLset	PJCH2	PJCH3	PJCH4	PJH1	PJset	PPCH2	PPCH4	PPH1	PPset
Unclassified;Other;Other;Other;Other;Other;Other	0.0125633678642	0.0313090418354	0.0276391199852	0.0188280837586	0.00336260041098	0.155117425341	0.0309154876862	0.0105060034305	0.0427480916031	0.01945376138	0.00500658761528	0.00221838797141	0.00239808153477	0.000993245927692
k__Fungi;Other;Other;Other;Other;Other;Other	0.00749393872603	0.0221322537112	0.0240340173784	0.00563082878761	0.00765925649169	0.00898811249638	0.0389999251441	0.00750428816467	0.0232061068702	0.0307139434595	0.101712779974	0.0268671432093	0.0110911270983	0.090782677791
k__Fungi;p__Ascomycota;Other;Other;Other;Other;Other	0.0138858276394	0.0151147098516	0.0616564984285	0.0121414745733	0.010087801233	0.01768628588	0.0329365970507	0.0152229845626	0.0204580152672	0.044226161955	0.0297760210804	0.0384520581711	0.00629496402878	0.148788239968
k__Fungi;p__Ascomycota;c__Dothideomycetes;Other;Other;Other;Other	0.0119021379766	0.0491228070175	0.0489924200407	0.00897413338026	0.0506258172987	0.00231951290229	0.0263492776405	0.00578902229846	0.0128244274809	0.0177767129851	0.00606060606061	0.00271136307616	0.00209832134293	0.00278108859754
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Incertae_sedis;g__Camarosporium;s__Camarosporium_sp	0.0	0.0	0.000184877056757	0.000175963399613	0.0	0.0	0.0	0.0	0.0	0.0	0.00263504611331	0.000492975104757	0.0	0.000397298371077
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;Other;Other;Other	0.00374696936302	0.00161943319838	0.000462192641893	0.00158367059652	0.000747244535774	0.000289939112786	0.000299423609552	0.0	0.0	0.000862482031624	0.000527009222661	0.000246487552379	0.000299760191847	0.00238379022646
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Capnodium;s__Capnodium_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00895915678524	0.0	0.000299760191847	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;Other	0.0	0.0	0.0	0.0	0.000373622267887	0.000579878225573	0.00037427951194	0.0	0.0	0.00201245807379	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium_langeronii	0.0	0.0	0.000369754113515	0.0	0.0	0.00376920846622	0.00643760760536	0.0192967409949	0.0018320610687	0.0181600383325	0.00474308300395	0.000739462657136	0.00269784172662	0.00834326579261
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium_sp_4_MU_2012	0.0	0.0	9.24385283786e-05	0.0	0.0	0.00260945201508	0.00194625346209	0.0102915951973	0.0012213740458	0.00608528988979	0.00263504611331	0.000739462657136	0.000599520383693	0.00576082638061
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis;Other;Other	0.0	0.0	0.0	0.0	0.0	0.000289939112786	0.000523991316715	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis;g__Capnobotryella;s__Capnobotryella_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00105401844532	0.0	0.0	0.000397298371077
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis;g__Elasticomyces;s__Elasticomyces_elasticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00105401844532	0.000246487552379	0.00119904076739	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis;g__Rachicladosporium;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139054429877
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis;g__Rachicladosporium;s__Rachicladosporium_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.00411707463133	0.000643224699828	0.000610687022901	0.00105414470532	0.00974967061924	0.000492975104757	0.00149880095923	0.002582439412
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00263504611331	0.00172541286665	0.00719424460432	0.00476758045292
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria;s__Septoria_arundinacea	0.0	0.0	0.0	0.0	0.0	0.000289939112786	0.000449135414327	0.0	0.0012213740458	4.79156684236e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia;s__Devriesia_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.000149711804776	0.0	0.00030534351145	0.00273119310014	0.0171277997365	0.00616218880947	0.00419664268585	0.00893921334923
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Teratosphaeria;s__Teratosphaeria_persoonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000993245927692
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp	0.00132245977518	0.00404858299595	0.000277315585136	0.00105578039768	0.00354941154493	0.0	0.0	0.0	0.00030534351145	0.0	0.000263504611331	0.000492975104757	0.000299760191847	0.0127135478745
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified;g__unidentified;s__Capnodiales_sp_CN_Cre_Bo1_5	0.00264491955036	0.000539811066127	0.00332778702163	0.00105578039768	0.0	0.0	0.000299423609552	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Dothidea;s__Dothidea_sp	0.0	0.0	0.0	0.0	0.000186811133944	0.0	0.0	0.0	0.0	0.000479156684236	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;Other;Other	0.00793475865109	0.0429149797571	0.0196894065446	0.0441668133028	0.0112086680366	0.00956799072195	0.00696159892208	0.00407375643225	0.00763358778626	0.0421178725443	0.00368906455863	0.00295785062854	0.00209832134293	0.00238379022646
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.000299423609552	0.000428816466552	0.0	0.0024436990896	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium;s__Aureobasidium_pullulans_var._namibiae	0.0	0.000269905533063	0.000369754113515	0.0014077071969	0.0	0.0	7.48559023879e-05	0.0	0.0	0.000143747005271	0.0	0.0	0.0	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium;s__Aureobasidium_pullulans_var._subglaciale	0.0	0.000269905533063	0.0	0.0	0.0	0.0	0.000598847219103	0.000643224699828	0.000916030534351	0.0010062290369	0.0	0.0	0.0	0.000198649185538
