,AirTempMax_1,AirTempMax_3,AirTempMax_30,AirTempMax_7,AirTempMin_1,AirTempMin_3,AirTempMin_30,AirTempMin_7,AirTemp_1,AirTemp_3,AirTemp_30,AirTemp_7,Evapo_1,Evapo_3,Evapo_30,Evapo_7,Precip_1,Precip_3,Precip_30,Precip_7,SWC_1,SWC_3,SWC_30,SWC_7,SolarMax_1,SolarMax_3,SolarMax_30,SolarMax_7,Stemp_1,Stemp_3,Stemp_30,Stemp_7
GL0,21.81,22.570000000000004,19.857000000000003,18.954285714285714,7.832999999999999,10.911,6.446233333333335,7.674857142857142,15.538874999999999,17.040180555555555,13.53250972222222,13.446482142857144,0.341375,0.35152777777777783,0.2945583333333333,0.27208928571428576,0.0,0.0,0.6032499999999998,0.5503333333333332,0.11825000000000006,0.12398611111111117,0.10376527777777782,0.13186309523809525,0.998,1.0519999999999998,1.0525999999999998,1.0161428571428572,20.572083333333335,21.84861111111111,20.011715277777782,18.56882738095238
GL1,33.62,34.553333333333335,29.964666666666666,34.12571428571429,21.83,19.45,14.635266666666665,19.59857142857143,27.500833333333333,27.340555555555554,22.669768055555558,27.109226190476193,0.44741666666666674,0.4409027777777778,0.41455555555555557,0.4872738095238094,0.0,0.0,0.0,0.0,0.06920833333333333,0.06980555555555555,0.07865138888888891,0.07052380952380953,1.071,1.11,1.1031666666666666,1.1075714285714287,33.61541666666667,33.66430555555556,30.213333333333328,33.69232142857143
GL2,30.73,28.703333333333333,29.898666666666664,29.398571428571426,19.74,18.016666666666666,18.206333333333337,18.985714285714288,24.69125,23.40111111111111,23.680527777777783,23.855535714285715,0.2819166666666666,0.2376666666666666,0.28185000000000004,0.24873809523809523,0.127,0.16933333333333334,2.1801666666666666,0.16933333333333334,0.13204166666666667,0.13669444444444442,0.14217361111111113,0.15005952380952378,0.914,0.867,0.9511333333333332,0.8918571428571429,28.075833333333332,27.174305555555552,27.396958333333334,27.640952380952378
GL3,22.37,24.293333333333333,30.54366666666667,26.17142857142857,10.26,12.456666666666665,17.973,14.561428571428573,16.49208333333333,18.09194444444444,24.240361111111106,19.95779761904762,0.16204166666666667,0.19409722222222223,0.26201111111111114,0.18969642857142857,0.0,0.0,0.8360833333333333,0.4868333333333333,0.11808333333333337,0.122125,0.09521805555555553,0.11283333333333334,0.938,0.944,0.9091999999999998,0.8592857142857142,22.03,23.305694444444445,28.902513888888887,24.37244047619048
GL4,22.78,20.527619047619048,22.549999999999994,22.860000000000003,9.13,6.53547619047619,8.3645,8.01242857142857,15.798749999999998,13.587555555555555,15.56013611111111,15.560482142857142,0.17775,0.16423015873015875,0.17961388888888888,0.18874404761904762,0.0,0.30691666666666667,0.30691666666666667,0.0,0.10233333333333335,0.11483134920634921,0.11787083333333333,0.1054166666666667,0.7440000000000001,0.7446666666666667,0.7620333333333335,0.7507142857142857,16.612875,15.560932539682534,17.634,17.095214285714288
PJ0,19.93,20.366666666666667,18.042333333333335,16.73428571428571,6.822,8.994,4.1568,5.416714285714286,13.6355,14.951416666666667,11.578463888888889,11.227208333333332,0.277875,0.2883194444444444,0.24420416666666667,0.22457738095238092,0.0,0.0,0.7831666666666665,0.6032499999999998,0.13458333333333336,0.13520833333333337,0.1315638888888889,0.13729761904761908,1.0390000000000001,1.0653333333333335,1.0484999999999998,1.026142857142857,19.72875,19.981250000000003,18.018752777777774,17.10369642857143
PJ1,30.79,32.14333333333334,28.13833333333333,31.898571428571426,20.32,19.3,12.598799999999999,19.360000000000003,25.555000000000003,26.139305555555556,21.17259861111111,25.97482142857143,0.3862499999999999,0.36633333333333334,0.33879861111111104,0.3861428571428571,0.0,0.0,0.0,0.0,0.08641666666666666,0.08715277777777779,0.10303055555555557,0.08878571428571429,1.0979999999999999,1.0926666666666665,1.0915000000000001,1.0894285714285714,31.545416666666668,31.613611111111112,27.37673611111111,31.46833333333333
PJ2,28.69,27.006666666666664,27.865999999999996,27.408571428571427,16.03,15.393333333333333,16.061666666666664,16.02,21.49666666666667,20.817361111111115,21.74397222222222,21.26184523809524,0.21304166666666668,0.18090277777777777,0.21671250000000003,0.1890654761904762,0.10583333333333333,0.10583333333333333,3.767416666666667,0.47625,0.16641666666666663,0.1729861111111111,0.14893333333333333,0.17820833333333333,0.953,0.8776666666666667,0.8975666666666665,0.8991428571428571,23.278750000000002,22.698888888888888,23.919680555555555,23.02636904761905
PJ3,20.01,22.33666666666667,28.726,24.537142857142857,7.492999999999999,10.217666666666666,15.767766666666667,12.106142857142855,13.981374999999998,15.769486111111112,22.358545833333327,17.888589285714286,0.12641666666666668,0.14991666666666664,0.20133611111111108,0.15152380952380953,0.0,0.010583333333333333,0.9101666666666666,0.6138333333333332,0.11591666666666668,0.11734722222222223,0.10682222222222221,0.11204761904761906,0.7759999999999999,0.834,0.8315666666666668,0.7758571428571427,19.42083333333333,20.81361111111111,25.375166666666665,22.548809523809524
PJ4,21.83,19.32,21.247999999999998,21.94285714285714,4.369,4.970952380952381,6.703333333333334,5.755714285714285,12.870750000000001,12.13434126984127,13.895608333333339,14.174583333333333,0.13291666666666666,0.1366527777777778,0.14672361111111115,0.15179761904761907,0.0,0.53975,0.6773333333333333,0.0,0.13683333333333333,0.14371428571428574,0.14299722222222222,0.1385892857142857,0.7340000000000001,0.7377142857142857,0.7619333333333332,0.7435714285714285,14.598333333333331,14.276039682539684,16.001144444444442,15.647886904761902
PP0,16.27,16.78333333333333,14.426033333333335,13.050714285714287,4.312,7.023333333333333,2.0946,3.3561428571428573,10.42254166666667,11.724708333333334,8.578244444444442,8.196488095238095,0.24216666666666667,0.24261111111111108,0.20982916666666668,0.18426785714285712,0.0,0.0,1.0795000000000001,0.5609166666666667,0.1585833333333333,0.16343055555555555,0.15968472222222221,0.1690892857142857,1.054,1.0643333333333336,0.9994666666666667,0.9624285714285714,12.344583333333333,12.637499999999998,11.056094444444446,10.647690476190474
